pre_nms_top_n=12000,post_nms_top_n=2000,nms_thresh=.5,min_size=.1,eta=1.
 
Inputs: Anchors{LoDTensor<float, (129024, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 168, 256)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 168, 256)>}, Variances{LoDTensor<float, (129024, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (1398, 1)>}, RpnRois{LoDTensor<float, (1398, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (136896, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 184, 248)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 184, 248)>}, Variances{LoDTensor<float, (136896, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (1272, 1)>}, RpnRois{LoDTensor<float, (1272, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (136896, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 184, 248)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 184, 248)>}, Variances{LoDTensor<float, (136896, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (931, 1)>}, RpnRois{LoDTensor<float, (931, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (136896, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 248, 184)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 248, 184)>}, Variances{LoDTensor<float, (136896, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (1230, 1)>}, RpnRois{LoDTensor<float, (1230, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (139392, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 176, 264)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 176, 264)>}, Variances{LoDTensor<float, (139392, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (1309, 1)>}, RpnRois{LoDTensor<float, (1309, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (1452, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 22, 22)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 22, 22)>}, Variances{LoDTensor<float, (1452, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (471, 1)>}, RpnRois{LoDTensor<float, (471, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (152064, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 264, 192)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 264, 192)>}, Variances{LoDTensor<float, (152064, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (1225, 1)>}, RpnRois{LoDTensor<float, (1225, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (1620, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 20, 27)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 20, 27)>}, Variances{LoDTensor<float, (1620, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (555, 1)>}, RpnRois{LoDTensor<float, (555, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (163200, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 200, 272)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 200, 272)>}, Variances{LoDTensor<float, (163200, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (1013, 1)>}, RpnRois{LoDTensor<float, (1013, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (182400, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 200, 304)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 200, 304)>}, Variances{LoDTensor<float, (182400, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (1103, 1)>}, RpnRois{LoDTensor<float, (1103, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (1860, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 20, 31)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 20, 31)>}, Variances{LoDTensor<float, (1860, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (1, 1)>}, RpnRois{LoDTensor<float, (1, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (1980, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 22, 30)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 22, 30)>}, Variances{LoDTensor<float, (1980, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (697, 1)>}, RpnRois{LoDTensor<float, (697, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (2016, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 21, 32)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 21, 32)>}, Variances{LoDTensor<float, (2016, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (765, 1)>}, RpnRois{LoDTensor<float, (765, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (2016, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 21, 32)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 21, 32)>}, Variances{LoDTensor<float, (2016, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (767, 1)>}, RpnRois{LoDTensor<float, (767, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (2139, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 23, 31)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 23, 31)>}, Variances{LoDTensor<float, (2139, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (754, 1)>}, RpnRois{LoDTensor<float, (754, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
